Azimuth,Elevation,Hour of Year,Longitude of Equator Crossing,Leap Year,Third Euler Angle
153.1608781,29.98347907,1,-75,0,244.4010134
152.5158375,32.07400555,2,-75,0,243.147591
151.834236,34.05864473,3,-75,0,241.8941686
151.1176777,35.94251468,4,-75,0,240.6407463
150.3687139,37.72838015,5,-75,0,239.3873239
149.5897547,39.41957117,6,-75,0,238.1339015
148.7830622,41.01981572,7,-75,0,236.8804791
147.9507481,42.53309872,8,-75,0,235.6270567
147.0947746,43.96354592,9,-75,0,234.3736343
146.2169588,45.31533086,10,-75,0,233.1202119
145.3189786,46.59260203,11,-75,0,231.8667895
144.4023801,47.79942752,12,-75,0,230.6133672
143.4685852,48.93975421,13,-75,0,229.3599448
142.5189003,50.01737895,14,-75,0,228.1065224
141.5545249,51.03592941,15,-75,0,226.8531
140.5765593,51.9988525,16,-75,0,225.5996776
139.586013,52.90940878,17,-75,0,224.3462552
138.5838122,53.77067136,18,-75,0,223.0928328
137.5708068,54.58552814,19,-75,0,221.8394105
136.5477771,55.35668655,20,-75,0,220.5859881
135.5154399,56.08667995,21,-75,0,219.3325657
134.4744541,56.77787518,22,-75,0,218.0791433
133.4254261,57.43248081,23,-75,0,216.8257209
132.3689141,58.05255579,24,-75,0,215.5722985
131.305433,58.64001808,25,-75,0,214.3188761
130.2354576,59.19665335,26,-75,0,213.0654537
129.159427,59.72412337,27,-75,0,211.8120314
128.077747,60.22397411,28,-75,0,210.558609
126.9907937,60.69764347,29,-75,0,209.3051866
125.8989158,61.14646866,30,-75,0,208.0517642
124.8024371,61.57169303,31,-75,0,206.7983418
123.7016588,61.9744726,32,-75,0,205.5449194
122.5968612,62.35588212,33,-75,0,204.291497
121.4883061,62.71692058,34,-75,0,203.0380747
120.3762375,63.05851661,35,-75,0,201.7846523
119.2608841,63.38153314,36,-75,0,200.5312299
118.14246,63.68677197,37,-75,0,199.2778075
117.021166,63.9749779,38,-75,0,198.0243851
115.8971911,64.24684248,39,-75,0,196.7709627
114.7707132,64.50300754,40,-75,0,195.5175403
113.6418999,64.74406841,41,-75,0,194.2641179
112.51091,64.97057686,42,-75,0,193.0106956
111.3778935,65.18304382,43,-75,0,191.7572732
110.2429928,65.38194185,44,-75,0,190.5038508
109.1063435,65.56770744,45,-75,0,189.2504284
107.9680743,65.74074305,46,-75,0,187.997006
106.8283086,65.90141903,47,-75,0,186.7435836
105.6871641,66.05007533,48,-75,0,185.4901612
104.5447537,66.18702309,49,-75,0,184.2367389
103.4011862,66.31254598,50,-75,0,182.9833165
102.2565661,66.42690162,51,-75,0,181.7298941
