Date,Longitude,LeapYear,Azimuth,Elevation,Third Euler Angle
2002-11-09 08:00:00,57.0,0.0,34.45746353410002,55.789631689399975,80.24186189169995
2002-11-09 08:15:00,57.0,0.0,34.23012561037501,55.50243876137499,80.04530329594995
2002-11-09 08:30:00,57.0,0.0,34.00278768665001,55.21524583335,79.84874470019994
2002-11-09 08:45:00,57.0,0.0,33.775449762925,54.92805290532501,79.65218610444994
2002-11-09 09:00:00,57.0,0.0,33.54811183919999,54.640859977300025,79.45562750869993
2002-11-09 09:15:00,57.0,0.0,33.302837934425,54.35069614782503,79.17973836269994
2002-11-09 09:30:00,57.0,0.0,33.05756402965001,54.06053231835004,78.90384921669994
2002-11-09 09:45:00,57.0,0.0,32.81229012487502,53.77036848887504,78.62796007069993
2002-11-09 10:00:00,57.0,0.0,32.56701622010003,53.48020465940005,78.35207092469993
2002-11-09 10:15:00,57.0,0.0,32.26945894860002,53.16920497125006,77.91516822289998
2002-11-09 10:30:00,57.0,0.0,31.971901677100007,52.85820528310006,77.47826552110001
2002-11-09 10:45:00,57.0,0.0,31.674344405599996,52.54720559495007,77.04136281930005
2002-11-09 11:00:00,57.0,0.0,31.376787134099985,52.23620590680008,76.6044601175001
2002-11-09 11:15:00,57.0,0.0,31.13191862229998,51.925700341250064,76.27591973325006
2002-11-09 11:30:00,57.0,0.0,30.887050110499978,51.61519477570005,75.94737934900004
2002-11-09 11:45:00,57.0,0.0,30.642181598699974,51.30468921015003,75.61883896475001
2002-11-09 12:00:00,57.0,0.0,30.39731308689997,50.994183644600014,75.29029858049998
2002-11-09 12:15:00,57.0,0.0,30.15577170364999,50.6518582275,74.96776670694996
2002-11-09 12:30:00,57.0,0.0,29.91423032040001,50.309532810399986,74.64523483339994
2002-11-09 12:45:00,57.0,0.0,29.67268893715003,49.967207393299965,74.32270295984993
2002-11-09 13:00:00,57.0,0.0,29.43114755390005,49.62488197619995,74.00017108629991
2002-11-09 13:15:00,57.0,0.0,29.21047900930004,49.27323711287495,73.71112259189994
2002-11-09 13:30:00,57.0,0.0,28.989810464700035,48.92159224954996,73.42207409749997
2002-11-09 13:45:00,57.0,0.0,28.769141920100026,48.56994738622496,73.13302560310001
2002-11-09 14:00:00,57.0,0.0,28.548473375500016,48.21830252289996,72.84397710870003
2002-11-09 14:15:00,57.0,0.0,28.31550184727502,47.83195947669997,72.49945637852504
